,speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,learned_cats
5901,JoseAntonio,a,1150,1416,2492,100.0,-9.0,272.0,-226.0,55.0,-270.0,-338.0,sp,ids,2
5902,Maddy2,a,734,1608,1696,50.0,109.0,-30.0,1202.0,49.0,-174.0,-291.0,sp,ids,2
5905,Maddy2,a,713,1493,2272,110.0,-87.0,58.0,460.0,61.0,135.0,46.0,sp,ids,2
5908,Maddy2,a,741,1630,2297,70.0,-0.7,-14.0,-164.0,52.0,43.0,-55.0,sp,ids,2
5912,Maddy2,a,719,1091,1968,170.0,129.0,203.0,248.0,330.0,-109.0,-398.0,sp,ids,2
5914,Maddy2,a,983,2180,3181,30.0,-0.5,-350.0,-226.0,-64.0,55.0,-368.0,sp,ids,2
5916,Maddy2,a,827,1227,2220,90.0,-61.0,-31.0,-121.0,123.0,141.0,165.0,sp,ids,2
5917,Maddy2,a,857,1467,3288,240.0,5.0,-41.0,-1341.0,-60.0,-297.0,285.0,sp,ids,2
5918,Maddy2,a,841,1240,2208,90.0,3.0,18.0,-13.0,247.0,296.0,82.0,sp,ids,2
5919,Maddy2,a,881,1413,2238,300.0,-5.0,21.0,-264.0,-31.0,172.0,-668.0,sp,ids,2
5920,Maddy2,i,435,2603,3543,110.0,116.0,-137.0,-480.0,-101.0,152.0,739.0,sp,ids,3
5921,Maddy2,a,1035,1841,2466,120.0,-436.0,71.0,385.0,-0.09,69.0,-290.0,sp,ids,2
