,speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,z_f1,z_f2,learned_cats
174,HS10,a,846,1763,2961,63.539,-32.0,47.0,64,35.0,-138.0,73.0,sp,ads,2.3351348976079285,-0.0344889982911957,4
175,HS10,u,247,906,2644,30.0,25.0,-10.0,-116,36.0,-126.0,-312.0,sp,ads,-1.9878157218338368,-1.7903898266916656,3
176,HS10,a,587,1597,2991,90.0,-33.0,-40.0,-13,41.0,-85.0,-73.0,sp,ads,0.4659458985504709,-0.374605144749163,2
177,HS10,u,377,1047,2843,70.0,0.5,89.0,-48,16.0,-32.0,22.0,sp,ads,-1.0496127493339542,-1.5014959914472474,3
178,HS10,e,409,1792,3009,50.0,21.0,41.0,-105,118.0,134.0,25.0,sp,ads,-0.818670479180137,0.0249288827165214,1
179,HS10,o,480,1190,2939,38.471,-7.0,-129.0,-22,-4.0,-1.0,-0.9,sp,ads,-0.3062673172763552,-1.2085043713057455,3
180,HS10,a,598,1656,3012,50.0,46.0,-91.0,-109,55.0,-76.0,37.0,sp,ads,0.5453323039158455,-0.2537204902851867,2
181,HS10,a,753,1796,2864,110.0,-94.0,-50.0,-60,69.0,-175.0,-18.0,sp,ads,1.6639589249733977,0.0331244525106893,4
182,HS10,e,421,2118,2877,40.0,42.0,98.0,-21,43.0,156.0,-17.0,sp,ads,-0.7320671278724556,0.6928678209412042,2
183,HS10,e,563,2466,3533,28.543,-7.0,164.0,-378,25.0,152.0,-331.0,sp,ads,0.292739195935108,1.4058823930338105,2
184,HS10,o,570,1447,2952,50.0,45.0,-15.0,913,150.0,-155.0,54.0,sp,ads,0.3432578175312555,-0.6819390120304588,3
185,HS10,o,378,1371,2998,40.0,23.0,-161.0,-141,74.0,-106.0,-155.0,sp,ads,-1.0423958033916474,-0.8376548381196487,1
186,HS10,u,282,837,3291,40.0,30.0,118.0,-521,61.0,-25.0,596.0,sp,ads,-1.735222613853099,-1.9317634056410613,3
187,HS10,a,569,1747,3015,40.0,-5.0,-67.0,19,47.0,-20.0,-10.0,sp,ads,0.3360408715889487,-0.0672712774678672,1
188,HS10,e,503,1840,2927,60.0,22.0,-11.0,-54,62.0,-15.0,15.0,sp,ads,-0.1402775606032991,0.123275720246536,2
189,HS10,a,588,1668,3365,35.758,59.0,-125.0,-80,-44.0,-31.0,89.0,sp,ads,0.4731628444927777,-0.229133780902683,1
